City_ID,   Lat    ,   Lng    ,  Date    , Humidity , Max Temp ,City,Cloudiness,Country   ,Wind Speed
266,-19.06,-169.92,03-24-2018,100,81.26,alofi,92,NU,7.96
267,63.75,121.63,03-24-2018,71,22.04,vilyuysk,88,RU,8.63
268,50.1,-91.92,03-24-2018,68,13.81,sioux lookout,36,CA,7.4
269,27.87,-0.29,03-24-2018,26,65.06,adrar,0,DZ,14.79
270,48.5,-122.23,03-24-2018,100,36.58,sedro-woolley,92,US,2.71
271,20.04,-77.58,03-24-2018,100,71.86,niquero,32,CU,17.25
272,-17.48,16.34,03-24-2018,100,75.37,eenhana,36,NA,4.61
273,4.27,-54.38,03-24-2018,89,74.24,grand-santi,36,GF,2.59
274,4.94,-52.33,03-24-2018,95,76.58,cayenne,80,GF,5.73
275,10.62,-8.7,03-24-2018,20,78.79,mandiana,0,GN,11.43
276,55.43,74.94,03-24-2018,94,25.15,nizhnyaya omka,80,RU,26.08
277,-3.2,-52.21,03-24-2018,95,73.84,altamira,92,BR,3.6
278,33.37,134.14,03-24-2018,100,55.12,muroto,0,JP,2.37
279,56.16,97.2,03-24-2018,65,43.87,nizhnyaya poyma,64,RU,4.16
280,-13.65,-73.37,03-24-2018,99,41.98,san jeronimo,88,PE,2.15
281,46.83,-100.89,03-24-2018,94,31.76,mandan,88,US,11.32
282,27.54,93.82,03-24-2018,97,55.39,ziro,92,IN,1.92
283,71.97,114.09,03-24-2018,70,-10.32,saskylakh,68,RU,7.63
284,41.28,20.71,03-24-2018,87,29.78,poum,92,MK,2.37
285,23.99,-104.67,03-24-2018,56,53.99,constitucion,36,MX,4.38
286,49.78,-74.86,03-24-2018,75,7.51,chapais,56,CA,10.76
287,32.87,-97.01,03-24-2018,63,71.18,estelle,0,US,21.05
288,50.25,-118.97,03-24-2018,75,23.8,lumby,36,CA,1.7
289,12.48,15.44,03-24-2018,19,92.24,massaguet,56,TD,8.63
290,30.29,57.06,03-24-2018,22,71.09,kerman,0,IR,3.38
291,-20.74,116.85,03-24-2018,18,105.34,karratha,20,AU,4.5
292,47.25,107.54,03-24-2018,20,60.16,bayan,0,MN,16.91
293,62.78,148.15,03-24-2018,72,-8.52,susuman,8,RU,2.59
294,43.27,-7.54,03-24-2018,99,41.35,bereda,92,ES,13.78
295,21.74,-78.8,03-24-2018,97,64.93,venezuela,0,CU,12.77
296,-5.09,-81.11,03-24-2018,83,68.62,paita,64,PE,3.71
297,-22.97,-42.02,03-24-2018,93,77.39,arraial do cabo,12,BR,15.01
298,-14.8,-57.29,03-24-2018,84,76.58,nova olimpia,56,BR,4.61
299,55.09,80.97,03-24-2018,91,27.53,chulym,44,RU,25.75
300,-25.24,130.99,03-24-2018,20,89.54,yulara,0,AU,11.1
301,-23.65,-70.4,03-24-2018,94,54.31,antofagasta,32,CL,0.69
302,43.35,3.22,03-24-2018,100,43.73,beziers,92,FR,14.45
303,-3.66,152.44,03-24-2018,94,84.55,namatanai,0,PG,13.11
304,-10.62,150.67,03-24-2018,99,84.91,samarai,0,PG,7.07
305,-33.52,-56.9,03-24-2018,98,62.36,trinidad,64,UY,3.04
306,-38.6,145.59,03-24-2018,88,65.2,wonthaggi,80,AU,4.83
307,10.57,72.64,03-24-2018,100,84.64,kavaratti,0,IN,12.55
308,71.0,24.66,03-24-2018,100,23.39,havoysund,76,NO,6.96
309,27.91,-15.45,03-24-2018,100,63.4,aguimes,88,ES,16.69
310,-43.3,-65.11,03-24-2018,66,49.54,rawson,88,AR,8.97
311,47.66,-52.73,03-24-2018,93,33.25,torbay,88,CA,12.77
312,41.47,-87.06,03-24-2018,54,30.23,valparaiso,92,US,13.33
313,17.08,122.42,03-24-2018,100,73.3,dicabisagan,48,PH,12.44
314,12.49,-16.54,03-24-2018,72,77.35,oussouye,24,SN,14.79
315,-13.87,-171.6,03-24-2018,100,83.33,lufilufi,68,WS,12.21
316,36.95,36.2,03-24-2018,74,64.61,erzin,88,TR,16.13
317,38.23,-2.07,03-24-2018,48,45.22,bajil,0,ES,24.18
318,3.94,41.86,03-24-2018,96,72.76,mandera,92,ET,5.17
319,19.93,-105.25,03-24-2018,86,64.21,tomatlan,20,MX,0.58
320,-46.13,167.69,03-24-2018,100,53.54,tuatapere,56,NZ,2.15
321,14.69,-16.54,03-24-2018,28,76.18,gat,56,SN,15.35
322,56.71,42.67,03-24-2018,95,23.89,pestyaki,8,RU,12.77
323,60.14,-45.24,03-24-2018,100,18.58,nanortalik,0,GL,34.81
324,-18.48,-70.32,03-24-2018,96,61.73,arica,64,CL,1.14
325,53.3,59.13,03-24-2018,94,27.13,agapovka,56,RU,16.02
